,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,City
3875,2020,Maruti,Baleno,"3,384",1st Owner,Petrol,"₹7,00,999",Manual,DELTA 1.2 K12 Manual,Surat
3876,2012,Maruti,Swift,"1,82,731",1st Owner,Diesel,"₹3,09,499",Manual,VDI Manual,Surat
3877,2016,Maruti,Vitara Brezza,"74,203",2nd Owner,Diesel,"₹7,39,199",Manual,ZDI PLUS DUAL TONE Manual,Surat
3878,2017,Hyundai,Eon,"46,703",2nd Owner,Petrol,"₹3,21,399",Manual,MAGNA PLUS Manual,Surat
3879,2017,Maruti,Alto 800,"82,228",1st Owner,Petrol,"₹2,63,999",Manual,LXI Manual,Surat
3880,2018,Maruti,Baleno,"21,119",1st Owner,Petrol,"₹5,86,099",Manual,DELTA 1.2 K12 Manual,Surat
3881,2020,Maruti,Baleno,154,1st Owner,Petrol,"₹7,20,299",Manual,ZETA 1.2 K12 Manual,Surat
3882,2020,Maruti,Baleno,146,1st Owner,Petrol,"₹7,19,499",Manual,ZETA 1.2 K12 Manual,Surat
3883,2020,Maruti,Baleno,188,1st Owner,Petrol,"₹7,20,899",Manual,ZETA 1.2 K12 Manual,Surat
3884,2017,Maruti,Baleno,"71,863",1st Owner,Diesel,"₹4,81,999",Manual,DELTA DDIS 190 Manual,Surat
3885,2017,Hyundai,Elite i20,"96,155",1st Owner,Diesel,"₹5,72,699",Manual,SPORTZ 1.4 Manual,Surat
3886,2017,Maruti,Vitara Brezza,"79,803",1st Owner,Diesel,"₹6,09,799",Manual,VDI OPT Manual,Surat
3887,2020,Maruti,Baleno,"11,847",1st Owner,Petrol,"₹6,36,699",Manual,DELTA 1.2 K12 Manual,Surat
3888,2017,Maruti,Vitara Brezza,"79,483",2nd Owner,Diesel,"₹6,07,399",Manual,VDI Manual,Surat
3889,2014,Hyundai,i10,"41,279",1st Owner,Petrol,"₹3,45,499",Manual,SPORTZ 1.1 IRDE2 Manual,Surat
3890,2017,Ford,Ecosport,"63,121",2nd Owner,Diesel,"₹6,21,999",Manual,1.5TITANIUM TDCI Manual,Surat
3891,2020,Ford,Ecosport,"13,709",1st Owner,Diesel,"₹9,19,999",Manual,1.5TITANIUM TDCI Manual,Surat
3892,2017,Maruti,S Cross,"1,12,490",1st Owner,Diesel,"₹6,10,899",Manual,ZETA 1.3 Manual,Surat
3893,2017,Maruti,Vitara Brezza,"58,743",1st Owner,Diesel,"₹6,71,099",Manual,VDI OPT Manual,Surat
3894,2018,Mahindra,TUV300,"1,18,642",1st Owner,Diesel,"₹6,92,099",Manual,T10 MT Manual,Surat
3895,2020,Maruti,Baleno,"3,905",1st Owner,Petrol,"₹6,80,499",Manual,DELTA 1.2 K12 Manual,Surat
3896,2020,Maruti,Baleno,"4,560",1st Owner,Petrol,"₹6,39,099",Manual,DELTA 1.2 K12 Manual,Surat
3897,2018,Ford,Ecosport,"34,592",2nd Owner,Diesel,"₹7,65,399",Manual,1.5 TDCI TITANIUM PLUS Manual,Surat
3898,2018,Maruti,Swift,"61,712",1st Owner,Diesel,"₹5,42,299",Manual,VDI Manual,Surat
3899,2020,Maruti,Baleno,"6,109",1st Owner,Petrol,"₹6,62,699",Manual,DELTA 1.2 K12 Manual,Surat
3900,2019,Maruti,Swift,"26,746",1st Owner,Diesel,"₹6,33,499",Manual,VDI Manual,Surat
3901,2018,Hyundai,Creta,"71,100",1st Owner,Diesel,"₹10,30,599",Manual,1.6 SX CRDI Manual,Surat
3902,2017,Maruti,Ertiga,"84,213",2nd Owner,Diesel,"₹7,07,399",Manual,VDI SHVS Manual,Surat
3903,2020,Maruti,Baleno,"6,138",1st Owner,Petrol,"₹6,77,399",Manual,DELTA 1.2 K12 Manual,Surat
3904,2020,Maruti,Baleno,"20,259",1st Owner,Petrol,"₹6,56,899",Manual,ZETA 1.2 K12 Manual,Surat
3905,2019,Maruti,Baleno,"28,399",1st Owner,Petrol,"₹6,13,099",Manual,DELTA 1.2 K12 Manual,Surat
3906,2017,Maruti,Vitara Brezza,"18,237",1st Owner,Diesel,"₹7,17,999",Manual,VDI OPT Manual,Surat
3907,2020,Ford,Ecosport,"8,979",1st Owner,Diesel,"₹9,75,699",Manual,1.5TITANIUM TDCI Manual,Surat
3908,2018,Hyundai,Elite i20,"81,282",2nd Owner,Diesel,"₹6,30,999",Manual,1.4 CRDI ASTA (O) Manual,Surat
3909,2018,Ford,Ecosport,"58,632",1st Owner,Diesel,"₹7,65,299",Manual,1.5 TDCI TITANIUM PLUS Manual,Surat
3910,2020,Ford,Ecosport,"12,718",1st Owner,Petrol,"₹9,88,899",Manual,1.5 TITANIUM PLUS TI VCT AT Manual,Surat
3911,2019,Maruti,Baleno,"24,142",1st Owner,Petrol,"₹6,12,599",Manual,ZETA 1.2 K12 Manual,Surat
3912,2018,Maruti,Vitara Brezza,"71,597",2nd Owner,Diesel,"₹7,09,999",Manual,VDI Manual,Surat
3913,2020,Maruti,S PRESSO,"23,068",2nd Owner,Petrol,"₹3,98,599",Manual,VXI Manual,Surat
3914,2018,Honda,City,"94,837",1st Owner,Petrol,"₹9,25,599",Automatic,VX CVT PETROL Automatic,Surat
3915,2015,Maruti,Swift,"94,015",1st Owner,Diesel,"₹4,27,099",Manual,VDI ABS Manual,Surat
3916,2020,Maruti,S PRESSO,"11,529",1st Owner,Petrol,"₹3,98,599",Manual,VXI PLUS Manual,Surat
3917,2017,Maruti,Swift,"1,20,109",1st Owner,Diesel,"₹4,60,399",Manual,VDI ABS Manual,Surat
3918,2017,Maruti,Alto 800,"73,700",1st Owner,Petrol,"₹2,72,999",Manual,LXI Manual,Surat
3919,2018,Maruti,Vitara Brezza,"72,378",1st Owner,Diesel,"₹7,02,299",Manual,VDI Manual,Surat
3920,2019,Maruti,Alto K10,"29,272",1st Owner,Petrol,"₹3,46,999",Manual,VXI Manual,Surat
3921,2018,Maruti,Swift,"46,113",2nd Owner,Diesel,"₹5,27,399",Manual,VDI Manual,Surat
3922,2017,Hyundai,Grand i10,"9,940",1st Owner,Petrol,"₹5,19,099",Manual,MAGNA 1.2 VTVT Manual,Surat
3923,2017,Hyundai,Grand i10,"18,026",1st Owner,Petrol,"₹5,06,199",Manual,Sportz(O) 1.2 MT Manual,Surat
3924,2017,Maruti,Alto 800,"55,739",1st Owner,Petrol,"₹2,88,399",Manual,LXI Manual,Surat
3925,2018,Ford,Ecosport,"95,720",1st Owner,Diesel,"₹7,28,599",Manual,1.5 TDCI TITANIUM PLUS Manual,Surat
3926,2017,Maruti,Vitara Brezza,"61,984",1st Owner,Diesel,"₹7,44,399",Manual,ZDI PLUS Manual,Surat
3927,2017,Maruti,Alto 800,"28,159",2nd Owner,Petrol,"₹2,81,199",Manual,LXI Manual,Surat
